coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_chronically_homeless,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,poverty,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature,public_welfare_expenditures_per_capita,total_expenditures_per_capita,year
AK-501,Alaska Balance of State CoC,891.0,722.0,169.0,216.0,50682,47279,3403,108643,1146.0,1103.0,43.0,7522,62820.11220235082,142061.09414697645,262452.9876814943,32.03,3729.0485,17374.346,2020
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",848.0,601.0,247.0,150.0,438554,411974,26580,876770,20034.0,17671.0,2363.0,107537,58717.96785017735,75650.82224362102,170709.4548267083,62.68,1553.5292,8837.525,2020
AL-501,Mobile City & County/Baldwin County CoC,631.0,267.0,364.0,71.0,294110,271326,22784,642003,13929.0,11881.0,2048.0,91587,45726.574142176905,88330.8305505306,168776.2385848601,62.68,1553.5292,8837.525,2020
AL-502,Florence/Northwest Alabama CoC,215.0,174.0,41.0,18.0,119280,112208,7072,266354,5619.0,5267.0,352.0,39735,39560.59450580806,54936.95379468258,115807.78286045596,62.68,1553.5292,8837.525,2020
AL-503,Huntsville/North Alabama CoC,561.0,406.0,155.0,139.0,295493,280798,14695,601564,7317.0,6447.0,870.0,66380,53044.07843720701,96252.4360121682,183557.0679690547,62.67999999999999,1553.5291999999997,8837.525,2020
AL-504,Montgomery City & County CoC,351.0,275.0,76.0,74.0,181082,167710,13372,382559,6419.0,6157.0,262.0,63907,47041.34593356842,57453.75031897209,127625.13458462528,62.68,1553.5292,8837.525,2020
AL-506,Tuscaloosa City & County CoC,67.0,41.0,26.0,0.0,103837,96371,7466,210758,4862.0,4035.0,827.0,28776,42868.0,65339.33529950721,164815.2420840742,62.68,1553.5292,8837.525,2020
AL-507,Alabama Balance of State CoC,398.0,206.0,192.0,10.0,703813,658629,45184,1628618,30262.0,27116.0,3146.0,267145,40750.17742343508,56861.58056550509,120971.09035976186,62.68,1553.5292,8837.525,2020
AR-500,Little Rock/Central Arkansas CoC,1186.0,613.0,573.0,272.0,282466,263190,19276,598835,10618.0,9222.0,1396.0,78199,51865.83868845341,67975.46579254307,145161.89093662167,60.09000000000001,2445.2393,8519.0742,2020
AR-501,Fayetteville/Northwest Arkansas CoC,352.0,197.0,155.0,98.0,314442,299679,14763,640319,4060.0,3624.0,436.0,72708,65139.15993278351,127078.16766559104,193291.07379045043,60.09,2445.2392999999997,8519.0742,2020
AR-503,Arkansas Balance of State CoC,773.0,228.0,545.0,128.0,382228,357487,24741,882366,16474.0,14413.0,2061.0,142603,38733.267328976865,56508.599910070676,118336.70481800605,60.09,2445.2393,8519.0742,2020
AR-505,Southeast Arkansas CoC,55.0,55.0,0.0,16.0,112015,103894,8121,269674,6845.0,5751.0,1094.0,46850,42369.59515192417,24284.093108914218,73291.44232025881,60.09,2445.2393,8519.0742,2020
AZ-500,Arizona Balance of State CoC,2236.0,1061.0,1175.0,651.0,426450,388755,37695,1051672,4207.0,3783.0,424.0,169230,42424.78188066241,168438.5624093605,268953.86392053094,65.97,2410.0727000000006,8157.2176,2020
AZ-501,Tucson/Pima County CoC,1324.0,745.0,579.0,383.0,481295,444630,36665,1061175,9257.0,8979.0,278.0,154790,48373.0,160109.18214586013,232049.79597142478,65.97,2410.0727,8157.2176,2020
AZ-502,"Phoenix, Mesa/Maricopa County CoC",7419.0,3652.0,3767.0,1052.0,2266227,2100505,165722,4579081,24074.0,21666.0,2408.0,520797,53521.0,231905.50724229644,319734.7717709932,65.97,2410.0727,8157.217599999999,2020
CA-500,San Jose/Santa Clara City & County CoC,9605.0,1683.0,7922.0,2526.0,1025616,952499,73117,1907105,24567.0,22355.0,2212.0,123516,123661.0,748609.3188724061,1143015.1155206452,61.17,3465.8154,13698.886000000002,2020
CA-502,"Oakland, Berkeley/Alameda County CoC",8137.0,1825.0,6312.0,2437.0,819689,746490,73199,1662323,34399.0,30271.0,4128.0,139636,87078.0,569586.4468849609,839034.4744498061,61.169999999999995,3465.8154,13698.886,2020
CA-503,Sacramento City & County CoC,5511.0,1611.0,3900.0,1727.0,712190,644827,67363,1559146,19544.0,17785.0,1759.0,192386,58307.0,298675.44465029787,401352.5494154646,61.17,3465.8154000000004,13698.885999999999,2020
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2745.0,1043.0,1702.0,562.0,246215,226415,19800,489819,6552.0,5962.0,590.0,37609,71386.0,455175.8086574434,646687.4299397775,61.17,3465.8154,13698.886,2020
CA-505,Richmond/Contra Costa County CoC,2277.0,707.0,1570.0,699.0,547376,498091,49285,1152333,15182.0,13208.0,1974.0,82136,92264.0,451238.59367928916,655671.3953277594,61.17,3465.8154,13698.886,2020
CA-506,"Salinas/Monterey, San Benito Counties CoC",2683.0,685.0,1998.0,603.0,247235,220075,27160,494961,5977.0,4475.0,1502.0,52895,61419.0217916159,427305.6702365905,593343.935564935,61.17,3465.8154,13698.886000000002,2020
CA-507,Marin County CoC,1032.0,324.0,708.0,251.0,130901,122013,8888,257332,3653.0,3433.0,220.0,15119,145575.0,670475.9727991119,1095069.4998493025,61.17,3465.8154,13698.886,2020
CA-508,Watsonville/Santa Cruz City & County CoC,2256.0,556.0,1700.0,445.0,135102,121979,13123,269925,6382.0,5807.0,575.0,27524,75957.0,546542.635475713,818103.7454533512,61.17,3465.8154,13698.886,2020
CA-509,Mendocino County CoC,751.0,176.0,575.0,99.0,37232,33848,3384,86061,1697.0,1323.0,374.0,12099,54795.0,285086.820153987,424054.1411517331,61.17,3465.8154,13698.886,2020
CA-510,"Turlock, Modesto/Stanislaus County CoC",2107.0,1020.0,1087.0,336.0,242490,215869,26621,550081,6417.0,6160.0,257.0,70568,48954.0,263951.5926262871,342958.73292661924,61.17000000000001,3465.8154,13698.886,2020
CA-511,Stockton/San Joaquin County CoC,2677.0,1119.0,1558.0,742.0,335423,296890,38533,767967,7810.0,6872.0,938.0,104295,51816.0,285463.2825679613,402084.63683130615,61.17,3465.8154,13698.886000000002,2020
