state_name,overall_homeless,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
Alabama,43272.0,2164721.0,2018707.0,146014.0,4843737.0,93537.0,84183.0,9354.0,37055.0,41341.16910971939,112672.04760088985,62.68
Alaska,21570.0,364286.0,339706.0,24580.0,737075.0,7728.0,6877.0,851.0,55867.0,133367.09205663847,248614.0025815845,32.03
Arizona,36873.0,3118444.0,2906194.0,212250.0,6732873.0,40786.0,37523.0,3263.0,38756.0,108178.71980426826,183964.43191136947,65.97
Arkansas,35999.0,1327962.0,1249765.0,78197.0,2968759.0,50996.0,45896.0,5100.0,38749.0,32332.267974211605,101544.65872390129,60.09
California,127817.0,18676701.0,17264524.0,1412177.0,38586706.0,481569.0,447859.0,33710.0,51266.0,195964.0110630819,381268.2944571155,61.17
Colorado,170094.0,2800673.0,2661077.0,139596.0,5352637.0,60751.0,56498.0,4253.0,50797.0,144776.68943947073,252163.6529604485,46.26
Connecticut,24652.0,1889102.0,1764119.0,124983.0,3595697.0,81875.0,74506.0,7369.0,65498.0,132853.9826859132,236094.68714704333,48.6
Delaware,2703.0,452712.0,427400.0,25312.0,933131.0,12919.0,11627.0,1292.0,46015.0,106097.75470513944,210024.30367087678,54.48
Florida,91809.0,9546411.0,8931440.0,614971.0,19853880.0,195423.0,181743.0,13680.0,43516.0,78895.26996266289,161629.2202899207,71.8
Georgia,1147797.0,4745870.0,4407070.0,338800.0,10071204.0,136045.0,119719.0,16326.0,39969.0,53582.60378038335,133709.2540314443,62.300000000000004
Hawaii,11330.0,664015.0,635913.0,28102.0,1415335.0,22916.0,17874.0,5042.0,46044.0,241658.31180214763,447509.74454419216,72.95
Idaho,58846.0,776944.0,742807.0,34137.0,1632248.0,12359.0,11370.0,989.0,37680.0,103351.71947004106,170965.5925500114,46.32
Illinois,27932.0,6516388.0,6049067.0,467321.0,12885092.0,229005.0,199234.0,29771.0,49238.0,51039.33996009813,140160.978852286,51.37
Indiana,373261.0,3228528.0,3036687.0,191841.0,6596019.0,89545.0,80590.0,8955.0,41188.0,48792.09931067272,113079.9180092985,51.81
Iowa,187018.0,1698722.0,1626676.0,72046.0,3110643.0,40093.0,36083.0,4010.0,44699.0,44296.275074376514,112276.51638124848,48.14
Kansas,133221.0,1494207.0,1426892.0,67315.0,2901861.0,34995.0,30795.0,4200.0,47013.0,38065.34958420402,105287.28050075911,54.68
Kentucky,265882.0,2006530.0,1877560.0,128970.0,4416992.0,84085.0,74835.0,9250.0,37645.0,29882.83740361861,105733.16153257432,55.62
Louisiana,31409.0,2141526.0,2007673.0,133853.0,4645938.0,96268.0,81827.0,14441.0,43085.0,36564.84862451171,132506.03899906878,66.74
Maine,43616.0,698038.0,659008.0,39030.0,1331217.0,26473.0,24619.0,1854.0,41797.0,90368.34123404883,165607.99962845692,43.09
Maryland,7396.0,3125018.0,2945911.0,179107.0,5960064.0,100267.0,87232.0,13035.0,53659.0,125936.98180223272,252411.84597851548,54.61
Massachusetts,17376.0,3569561.0,3364853.0,204708.0,6764864.0,192002.0,180481.0,11521.0,58924.0,185965.59694822293,314463.4991726417,48.14
Michigan,144459.0,4759728.0,4416021.0,343707.0,9932033.0,147036.0,133802.0,13234.0,41207.0,32213.375728156312,105973.38843367416,46.64
Minnesota,36552.0,2979803.0,2852487.0,127316.0,5452665.0,89145.0,82904.0,6241.0,49967.0,93417.05849984614,173718.2638009241,42.98
Mississippi,74520.0,1243941.0,1149280.0,94661.0,2991892.0,54326.0,48893.0,5433.0,34896.0,30184.705449518617,91108.45667282083,63.5
