state_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
Alabama,43510.0,25789.0,17721.0,28276.0,15153.0,20593.0,423.0,22016.0,149.0,2203466.0,2103876.0,99590.0,4877989.0,91503.0,83267.0,8236.0,40223.0,47670.629949838,125714.7954478064,62.68
Alaska,20487.0,16579.0,3908.0,11397.0,9085.0,8181.0,752.0,771.0,280.0,360591.0,337107.0,23484.0,740983.0,7689.0,7842.0,-153.0,57189.0,152195.9629803617,268165.50917272747,32.03
Arizona,28395.0,17287.0,11108.0,17582.0,10756.0,19539.0,5558.0,2491.0,172.0,3240111.0,3079700.0,160411.0,7048088.0,40909.0,38045.0,2864.0,43497.0,144610.81723461856,226458.653795846,65.97
Arkansas,30095.0,15289.0,14806.0,17231.0,12828.0,19637.0,621.0,9562.0,106.0,1348098.0,1297863.0,50235.0,3003855.0,51580.0,45390.0,6190.0,41890.0,41124.28415963991,115778.17890055479,60.09
California,146803.0,48720.0,98083.0,97185.0,48329.0,80479.0,46293.0,43221.0,2634.0,19185368.0,18258066.0,927302.0,39337785.0,484072.0,445346.0,38726.0,58804.0,262959.89302556537,475768.3042916209,61.17
Colorado,265021.0,117858.0,147163.0,159672.0,104542.0,218700.0,84517.0,20477.0,1099.0,2963796.0,2885982.0,77814.0,5617421.0,61078.0,56191.0,4887.0,55251.0,212431.73481797267,347451.98026548966,46.26
Connecticut,19048.0,16628.0,2420.0,11714.0,7193.0,10218.0,5335.0,7079.0,142.0,1923713.0,1838835.0,84878.0,3575324.0,82338.0,76574.0,5764.0,70011.0,146482.29890012863,249844.12701692735,48.6
Delaware,2982.0,2808.0,174.0,1686.0,1293.0,1194.0,246.0,1632.0,12.0,475213.0,453949.0,21264.0,957942.0,12856.0,11827.0,1029.0,50417.0,135077.18977930717,243596.8640916422,54.48
Florida,69531.0,37838.0,31693.0,43689.0,25596.0,38448.0,8244.0,27560.0,304.0,9972992.0,9544894.0,428098.0,20977089.0,193218.0,181624.0,11594.0,49055.0,115355.90433354561,210408.53464308972,71.8
Georgia,563709.0,280007.0,283702.0,310807.0,251540.0,230399.0,35719.0,301039.0,2124.0,5107907.0,4864825.0,243082.0,10417031.0,135194.0,120322.0,14872.0,44993.0,71239.09896234317,163878.92958841482,62.300000000000004
Hawaii,11742.0,4990.0,6752.0,6849.0,4855.0,3134.0,1563.0,397.0,930.0,695303.0,679865.0,15438.0,1425763.0,22627.0,18554.0,4073.0,51114.0,309615.89735025616,560689.3845391822,72.95
Idaho,52605.0,29790.0,22815.0,27555.0,24833.0,46273.0,7492.0,1251.0,563.0,839780.0,812877.0,26903.0,1719745.0,12347.0,11235.0,1112.0,41457.0,136105.72689294486,216236.29130243722,46.32
Illinois,26563.0,21320.0,5243.0,13975.0,12406.0,17362.0,3158.0,7183.0,62.0,6562302.0,6237936.0,324366.0,12779893.0,224517.0,206555.0,17962.0,53611.0,65633.61228264515,163636.69644373254,51.37
Indiana,334388.0,293949.0,40439.0,187726.0,146474.0,225223.0,14993.0,89807.0,1380.0,3333704.0,3217052.0,116652.0,6662068.0,88981.0,80972.0,8009.0,45015.0,62122.33775663633,131396.35814011408,51.81
Iowa,172593.0,167732.0,4861.0,91179.0,81032.0,102270.0,12747.0,54004.0,1161.0,1697510.0,1645663.0,51847.0,3143734.0,40661.0,36188.0,4473.0,47246.0,56508.283969010714,130267.75352395234,48.14
Kansas,105798.0,91294.0,14504.0,58534.0,47162.0,79636.0,12715.0,12805.0,310.0,1488351.0,1434518.0,53833.0,2910892.0,34641.0,30830.0,3811.0,48651.0,45064.9406165873,122675.7003752849,54.68
Kentucky,231005.0,168853.0,62152.0,127463.0,102948.0,192252.0,5139.0,27334.0,603.0,2053412.0,1955241.0,98171.0,4455590.0,84420.0,76822.0,7598.0,40751.0,38359.077385561286,120644.95559111868,55.62
Louisiana,23929.0,18437.0,5492.0,15566.0,8263.0,9272.0,641.0,13733.0,87.0,2108497.0,2000494.0,108003.0,4673673.0,94380.0,83054.0,11326.0,44056.0,47355.931621733944,144630.50334172402,66.74
Maine,36480.0,33600.0,2880.0,19616.0,16608.0,29648.0,1408.0,4544.0,176.0,703873.0,680165.0,23708.0,1335743.0,26500.0,24645.0,1855.0,46378.0,106762.09681876093,196380.6352570648,43.09
Maryland,7431.0,5907.0,1524.0,4616.0,2804.0,2439.0,404.0,4538.0,41.0,3243898.0,3114581.0,129317.0,6028186.0,100148.0,90133.0,10015.0,59155.0,145808.26651845605,279104.3908510612,54.61
Massachusetts,15700.0,14771.0,929.0,8352.0,7318.0,8976.0,5426.0,5145.0,117.0,3724521.0,3582391.0,142130.0,6863560.0,194522.0,182850.0,11672.0,66679.0,228446.16100237917,379916.32986889133,48.14
Michigan,96707.0,81972.0,14735.0,49726.0,46687.0,72646.0,4461.0,17253.0,134.0,4911256.0,4685855.0,225401.0,9976752.0,145610.0,133961.0,11649.0,45716.0,47657.387143184875,133204.8306596819,46.64
Minnesota,37558.0,31835.0,5723.0,17596.0,19868.0,18461.0,3170.0,10143.0,243.0,3071011.0,2963832.0,107179.0,5569283.0,89518.0,83251.0,6267.0,54266.0,120044.73391778221,210590.12472652466,42.98
Mississippi,53626.0,33602.0,20024.0,32134.0,21386.0,20323.0,586.0,31771.0,24.0,1272692.0,1206101.0,66591.0,2990674.0,55135.0,52378.0,2757.0,36902.0,43975.451737345196,115402.09683782462,63.5
Missouri,129223.0,98712.0,30511.0,62250.0,66650.0,93825.0,5487.0,29551.0,412.0,3053541.0,2939315.0,114226.0,6111382.0,91467.0,84149.0,7318.0,45239.0,59578.39388784805,137925.70139874364,54.7
Montana,85624.0,55160.0,30464.0,50288.0,34944.0,55552.0,6776.0,1848.0,224.0,528443.0,506873.0,21570.0,1053862.0,13679.0,12174.0,1505.0,46036.0,127983.45928891531,227039.13031625826,44.18
Nebraska,48706.0,47295.0,1411.0,26046.0,22656.0,39661.0,5889.0,4616.0,214.0,1023170.0,992745.0,30425.0,1916998.0,27803.0,25022.0,2781.0,50144.0,75745.99378874172,153303.58240214727,49.88
Nevada,11151.0,4543.0,6608.0,7734.0,3393.0,7648.0,1469.0,2396.0,210.0,1444268.0,1372025.0,72243.0,2972097.0,23234.0,22304.0,930.0,47485.0,155212.0252124852,250715.2921304282,57.3
New Hampshire,7592.0,6538.0,1054.0,4077.0,3470.0,6722.0,472.0,301.0,51.0,758133.0,736919.0,21214.0,1350395.0,21327.0,20473.0,854.0,58362.0,151214.94575382725,250993.9144167178,44.49
New Jersey,11922.0,10043.0,1879.0,7197.0,4703.0,5250.0,2316.0,6116.0,96.0,4614956.0,4406152.0,208804.0,8888147.0,165307.0,153735.0,11572.0,62465.0,157725.73917194098,298413.1061346099,51.93
New Mexico,38566.0,24998.0,13568.0,21850.0,15932.0,22407.0,16629.0,1258.0,165.0,948581.0,890989.0,57592.0,2092844.0,25660.0,22067.0,3593.0,39458.0,93031.14960552055,170218.48659218196,53.07
New York,409770.0,388658.0,21112.0,212693.0,195484.0,83807.0,140081.0,287991.0,5107.0,9838172.0,9382751.0,455421.0,19593849.0,601284.0,553181.0,48103.0,62913.0,119394.88509527908,258435.3192927668,48.17
North Carolina,251112.0,171993.0,79119.0,143684.0,106943.0,133345.0,13430.0,93963.0,979.0,4865908.0,4646213.0,219695.0,10275758.0,121907.0,108497.0,13410.0,44591.0,80399.11475558628,171321.87332916816,58.7
North Dakota,57717.0,40174.0,17543.0,42983.0,14416.0,19451.0,2279.0,6731.0,318.0,415769.0,404907.0,10862.0,756755.0,13299.0,10506.0,2793.0,52521.0,94332.24085574543,198030.17562556814,40.79999999999999
Ohio,254961.0,207550.0,47411.0,136011.0,118254.0,192153.0,9773.0,47778.0,544.0,5818986.0,5529483.0,289503.0,11665706.0,225458.0,211930.0,13528.0,46646.0,55752.42014738556,127316.45101759901,50.88
Oklahoma,23973.0,14029.0,9944.0,13006.0,10942.0,14576.0,1704.0,2497.0,2.0,1826279.0,1752738.0,73541.0,3933602.0,53344.0,49076.0,4268.0,44423.0,43110.44317122393,114170.93811423029,60.14
