coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,ec_county,child_ec_county,ec_grp_mem_county,ec_high_county,child_high_ec_county,ec_grp_mem_high_county,exposure_grp_mem_county,exposure_grp_mem_high_county,child_exposure_county,child_high_exposure_county,bias_grp_mem_county,bias_grp_mem_high_county,child_bias_county,child_high_bias_county,clustering_county,support_ratio_county,volunteering_rate_county,civic_organizations_county
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",875.0,556.0,319.0,627.0,242.0,343.0,24.0,507.0,2.0,439729,425849,13880,897425,20203.0,17826.0,2377.0,62872.523817589215,92572.22129759338,195068.95936552787,0.6552351400953059,0.8292535697913475,0.6949429062102682,1.360919619422236,1.2762809666100232,1.4494438256678832,0.7626133402011644,1.220714760297518,0.8169317625873359,1.2023956865813856,0.08564532680725742,-0.18741529891634398,-0.017514711254148482,-0.06170494489520684,0.0961765704820492,0.9873263376549573,0.06072555061712678,0.015938904434991227
AL-501,Mobile City & County/Baldwin County CoC,219.0,219.0,0.0,123.0,96.0,95.0,1.0,116.0,2.0,290667,278942,11725,652378,14205.0,11772.0,2433.0,49441.667261924835,104727.19475461825,196266.1729327486,0.63328177035553,0.7955159243220801,0.6475851881213346,1.203161445021138,1.0817047842508485,1.2356568647011397,0.7074810285038582,1.011854999417255,0.8096353285048545,1.0030192000956502,0.08841578505099804,-0.2213816616844682,0.01742489106009093,-0.0785251506819482,0.09629064910173243,0.9924935259362977,0.050932861677424744,0.01396848698147393
AL-502,Florence/Northwest Alabama CoC,183.0,149.0,34.0,97.0,85.0,147.0,135.0,36.0,0.0,118433,114759,3674,270278,5644.0,5212.0,432.0,43311.03919297908,64313.86336410991,132736.21610641808,0.6495925327707768,0.734309408427878,0.6698604774888078,1.098202471355419,0.8554721707780136,1.0951069994217806,0.7225965826275538,0.8667375290490161,0.7207116682680796,0.7717111073889846,0.0714854514123939,-0.2665272872626703,-0.019947892060219477,-0.11254753639791992,0.12099189393883335,0.9965388422214164,0.05137031736262293,0.015094137609653764
AL-503,Huntsville/North Alabama CoC,300.0,300.0,0.0,174.0,126.0,149.0,12.0,132.0,1.0,300645,292920,7725,627377,7294.0,6353.0,941.0,55787.814151618564,116731.9150028232,219000.27139389844,0.7140599457593441,1.0205520831682864,0.7430127568264696,1.278758721374867,1.3243543212295,1.3208443503795961,0.8032838403350298,1.0909793223213475,1.0635351216891917,1.237615906939384,0.07652590358493697,-0.21243682547187734,0.03990738210165818,-0.07298270389597164,0.10096037116981814,0.9894030690383454,0.06035311568007434,0.015619078209752668
AL-504,Montgomery City & County CoC,215.0,215.0,0.0,125.0,90.0,63.0,4.0,143.0,0.0,179971,172720,7251,395106,6413.0,6137.0,276.0,48893.45274432684,65461.202944937475,141680.92641052388,0.5658727454535238,0.841546362903145,0.5888341686294818,1.1344614765459904,1.147968950560103,1.163493682752932,0.6704052302619044,0.963067401674462,0.8541874793731555,1.1072876761455153,0.12709945939647588,-0.20794540446244805,0.013190908637243929,-0.03789101064636629,0.10602146755554204,0.9932897094397706,0.03536457706182644,0.016601139084217908
AL-506,Tuscaloosa City & County CoC,37.0,37.0,0.0,29.0,8.0,7.0,2.0,28.0,0.0,101686,98093,3593,235668,4890.0,4156.0,734.0,43439.0,72498.57690003373,182657.78550965854,0.64775002,0.82072002,0.69414002,1.23939,1.0718499,1.3055999999999999,0.85312003,1.1058199,0.84588999,0.9625399700000001,0.18635,-0.18065999,0.029759999,-0.11356000000000001,0.11284999999999999,0.99621999,0.0451,0.01334
AL-507,Alabama Balance of State CoC,190.0,92.0,98.0,85.0,105.0,97.0,4.0,80.0,1.0,696371,672438,23933,1659383,30714.0,27008.0,3706.0,44032.37978393174,65349.191868162496,137264.4097093864,0.6027472810101284,0.7231334821072892,0.6167485569195961,1.074544364764783,0.8910866074557532,1.073681282113225,0.6579806325008873,0.8513943827391928,0.7264748009251751,0.8041896158574905,0.0642020131242997,-0.26446535422757134,0.0026396965009065714,-0.10721697871203693,0.12158683672504238,0.9951187486859091,0.04563033636131923,0.015168284325665624
AR-500,Little Rock/Central Arkansas CoC,401.0,401.0,0.0,262.0,139.0,209.0,10.0,173.0,3.0,281049,268789,12260,606248,11172.0,9666.0,1506.0,54907.62495546377,78755.73781928823,161047.4578180463,0.7257509460323992,0.8797600529164633,0.7472018052575349,1.2010376008317718,1.1758714425418642,1.2563651104828388,0.8014776189620915,1.0887254442390903,0.8997156974688739,1.0844545255548883,0.06933178490033254,-0.15423161528341536,0.023231553981322824,-0.08450290033217923,0.09359115373003293,0.9881341606883818,0.06453662416694983,0.01765478650651219
AR-501,Fayetteville/Northwest Arkansas CoC,157.0,157.0,0.0,83.0,73.0,125.0,11.0,20.0,1.0,318101,308655,9446,651868,4066.0,3515.0,551.0,66480.82352255365,153095.09474442212,230132.95063160805,0.8181507401950242,0.7919662605638872,0.8364239150450398,1.312479985370658,1.062049910750873,1.3748598989519352,0.9128267078470181,1.186232125943504,0.8071596146931128,0.9683080704091165,0.08293385049270866,-0.1592057037142642,0.016664205918857807,-0.09528923083824947,0.09460305252389288,0.9821134975545511,0.08117081297811213,0.015855734090337307
AR-503,Arkansas Balance of State CoC,1190.0,662.0,528.0,734.0,455.0,877.0,97.0,276.0,3.0,379069,362863,16206,868810,16517.0,14334.0,2183.0,43191.496467582096,65848.9454664612,134504.35849360234,0.7010668681744685,0.6808596076621241,0.7073691445067736,1.0298847970980882,0.8031630231835843,1.0326041576254876,0.7394854827504057,0.8699337644309573,0.6757593474179164,0.7325216579067806,0.04328501396054534,-0.18752916686504528,-0.007904045746856044,-0.09609590265586032,0.1145983436070775,0.9938194069009105,0.07562484859500697,0.01604891989500639
AR-505,Southeast Arkansas CoC,67.0,67.0,0.0,28.0,39.0,23.0,1.0,44.0,0.0,109119,103195,5924,264667,6918.0,5725.0,1193.0,46201.28022760677,27843.525053445603,80647.31288400709,0.6420807482701282,0.6063218349339736,0.6352852869571197,0.9491609208771399,0.7291382251735955,0.9299043764125864,0.6708543229736235,0.7754804605173293,0.6087011972862124,0.6385013414016482,0.05433305711572315,-0.19922055239931685,0.002932098006120898,-0.1294141865191958,0.13760062689848,0.9981565122113827,0.08071918410673412,0.01568807390959659
AZ-500,Arizona Balance of State CoC,989.0,989.0,0.0,573.0,411.0,567.0,214.0,77.0,7.0,529191,492306,36885,1263768,6531.0,6070.0,461.0,46640.5806334707,195036.46064850767,306503.4960665066,0.716057176461091,0.6796297516321508,0.710151988464014,1.1792425952117953,0.9075340460666277,1.191985877496376,0.7770262404193571,1.010238160702803,0.7024754653339932,0.8186800339669069,0.08615121188293579,-0.18312096938209388,0.03110966786022664,-0.10795879624149045,0.09582963560276095,0.9849942247612931,0.06745997967260288,0.018443962462016447
AZ-501,Tucson/Pima County CoC,821.0,821.0,0.0,468.0,343.0,604.0,303.0,120.0,2.0,483156,458436,24720,1048895,9240.0,8500.0,740.0,52942.0,195464.47069312303,279050.1750871648,0.71572,0.77517998,0.70349002,1.31784,1.16274,1.4036601,0.77279001,1.20204,0.78391999,1.0982701,0.089670002,-0.16774,0.01115,-0.058699999,0.080949999,0.97719997,0.053169999,0.01337
AZ-502,"Phoenix, Mesa/Maricopa County CoC",3650.0,3650.0,0.0,2033.0,1605.0,1969.0,949.0,1194.0,36.0,2320686,2213563,107123,4494693,24174.0,21514.0,2660.0,59759.0,279316.4889737172,382900.0261707652,0.74400002,0.92000002,0.85654998,1.3991899,1.30445,1.42879,0.92655998,1.29924,0.9395400299999999,1.2582901,0.075560004,-0.099710003,0.0208,-0.036680002,0.078369997,0.95842999,0.04837,0.0096699996
CA-500,San Jose/Santa Clara City & County CoC,2301.0,2301.0,0.0,1417.0,862.0,1404.0,1148.0,302.0,152.0,1012385,963744,48641,1886595,24617.0,22893.0,1724.0,138724.0,843067.0179432413,1297744.250207016,1.15832,1.0641,1.26667,1.59632,1.51048,1.7657700000000003,1.33922,1.6390001,1.11552,1.4465801,0.054170001,-0.077349998,0.046089999,-0.04417,0.08963,0.95429999,0.05406999999999999,0.01259
CA-502,"Oakland, Berkeley/Alameda County CoC",2546.0,2546.0,0.0,1492.0,1030.0,714.0,396.0,1442.0,69.0,812967,763473,49494,1643837,34702.0,30537.0,4165.0,99746.0,649355.3518550418,984525.5472136809,0.91564,0.99251997,1.03245,1.5935400000000002,1.45033,1.69031,1.0897,1.58292,0.9908099800000001,1.38993,0.052530002,-0.067840002,-0.0017199999,-0.04346,0.086630002,0.94234997,0.071089998,0.01575
