state_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value
Alabama,24192.0,13401.0,10791.0,12968.0,11169.0,11960.0,563.0,11500.0,62.0,2272939.0,2200438.0,72501.0,4907965.0,92017.0,82815.0,9202.0,43288.0,55950.41383860197,140150.5831438259
Alaska,22603.0,17754.0,4849.0,12889.0,9575.0,9351.0,1171.0,788.0,504.0,353167.0,333362.0,19805.0,733603.0,7808.0,7729.0,79.0,61316.0,170999.33679796467,293364.7501929131
Arizona,32238.0,16893.0,15345.0,19992.0,12120.0,21540.0,6669.0,2777.0,136.0,3430769.0,3265708.0,165061.0,7291843.0,41405.0,38092.0,3313.0,48124.0,175945.0390095412,261537.1503225776
Arkansas,29358.0,11635.0,17723.0,18838.0,10506.0,18238.0,602.0,9488.0,41.0,1354947.0,1307515.0,47432.0,3020985.0,50297.0,45267.0,5030.0,44324.0,47623.054115160056,126014.60490831919
California,169918.0,48489.0,121429.0,109999.0,57456.0,96563.0,51511.0,45338.0,2844.0,19413249.0,18617933.0,795316.0,39437610.0,493534.0,449115.0,44419.0,64919.0,310785.59194942535,539938.587688603
Colorado,170759.0,119005.0,51754.0,112235.0,56789.0,125642.0,42772.0,14965.0,634.0,3105583.0,3022828.0,82755.0,5758486.0,61820.0,55019.0,6801.0,62124.0,254472.5344182964,394317.26085665805
Connecticut,16605.0,14001.0,2604.0,10553.0,6035.0,9097.0,4684.0,5740.0,45.0,1938640.0,1868768.0,69872.0,3566022.0,82685.0,76070.0,6615.0,75533.0,159929.48549623217,260664.29432812487
Delaware,2763.0,2478.0,285.0,1638.0,1119.0,1116.0,249.0,1434.0,6.0,484658.0,467162.0,17496.0,976668.0,13195.0,12007.0,1188.0,54217.0,152341.7051241585,259096.19593651514
Florida,63817.0,34961.0,28856.0,40423.0,23183.0,33885.0,6703.0,27216.0,284.0,10284669.0,9950517.0,334152.0,21492056.0,197960.0,182123.0,15837.0,54560.0,140859.90277927494,240578.44486660336
Georgia,634044.0,291659.0,342385.0,364546.0,268129.0,288492.0,38871.0,315561.0,6350.0,5160528.0,4975977.0,184551.0,10628020.0,135247.0,120369.0,14878.0,49083.0,92144.722841844,192970.38329348623
Hawaii,10402.0,4288.0,6114.0,6084.0,4265.0,2813.0,1417.0,367.0,776.0,686123.0,668773.0,17350.0,1415615.0,23038.0,19121.0,3917.0,54700.0,340327.5938406204,607654.626648668
